,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
169,2022-09-27 00:00:00,1628.44,1662.58,1615.04,1656.38,1626.699951,3597,888,27.94,1.72,1638.21,"September 27, 22",0.0172
170,2022-09-26 00:00:00,1627.85,1641.96,1625.94,1628.72,1623.300049,3601,1205,0.87,0.05344473,1632.72,"September 26, 22",0.0005344473
171,2022-09-23 00:00:00,1667,1667,1645.300049,1645.300049,1645.300049,1224,1224,-21.69995,-1.3,1652.53,"September 23, 22",-0.013
172,2022-09-22 00:00:00,1672.6,1675.86,1639.6,1642.9,1670.800049,3301,973,-29.7,-1.78,1657.15,"September 22, 22",-0.0178
173,2022-09-21 00:00:00,1666.83,1684.72,1655.93,1671.81,1664.599976,3618,2337,4.98,0.29877,1667.75,"September 21, 22",0.0029877
174,2022-09-20 00:00:00,1666.19,1687.62,1654.6,1667.03,1659.699951,3609,2830,0.84,0.05041442,1669.53,"September 20, 22",0.0005041442
175,2022-09-19 00:00:00,1676.3,1679.13,1660.12,1666.38,1666.199951,3620,580,-9.92,-0.59178,1668.86,"September 19, 22",-0.0059178
176,2022-09-16 00:00:00,1660.400024,1674.900024,1651.699951,1671.699951,1671.699951,464,464,11.29993,0.68055,1666.1,"September 16, 22",0.0068055
177,2022-09-15 00:00:00,1661.6,1679.91,1653.61,1674.74,1665.400024,3317,1125,13.14,0.7908,1666.2,"September 15, 22",0.007908
178,2022-09-14 00:00:00,1697.57,1697.7,1659.85,1662.33,1696.5,3639,532,-35.24,-2.08,1680.44,"September 14, 22",-0.0208
179,2022-09-13 00:00:00,1702.06,1706.89,1692.9,1697.52,1705,3640,432,-4.54,-0.26674,1701.08,"September 13, 22",-0.0026674
180,2022-09-12 00:00:00,1725.54,1731.62,1697.21,1702.04,1728.099976,3626,68,-23.5,-1.36,1714.8,"September 12, 22",-0.0136
181,2022-09-09 00:00:00,1719.199951,1720,1712.800049,1716.199951,1716.199951,635,635,-3,-0.1745,1716.33,"September 09, 22",-0.001745
182,2022-09-08 00:00:00,1710.6,1729.25,1709.14,1716.6,1708,3285,1193,6,0.35075,1719.41,"September 08, 22",0.0035075
